ENERGIARAVINTOAINEET
2|65
25E|25E
10E|10E
5E|5E
1E|1E
2.5E|2.5E
0.5E|0.5E
10E|15E
200|200
25|25
SUOJARAVINTOAINEET
M2|M6|M10|M14|M18|M31|M61|M75|N2|N6|N10|N14|N18|N31|N61|N75
350|400|600|900|900|900|900|900|350|400|600|700|700|700|700|700
0.6|0.9|1.1|1.4|1.4|1.3|1.2|1.2|0.6|0.9|1.0|1.2|1.1|1.1|1|1
0.7|1.1|1.3|1.7|1.6|1.5|1.4|1.3|0.7|1.1|1.2|1.4|1.3|1.2|1.2|1.2
9|12|15|19|19|18|16|15|9|12|14|16|15|14|13|13
0.7|1.0|1.2|1.6|1.5|1.5|1.5|1.5|0.7|1.0|1.1|1.3|1.2|1.2|1.3|1.3
80|130|200|300|300|300|300|300|80|130|200|300|400|300|300|300
0.8|1.3|2|2|2|2|2|2|0.8|1.3|2|2|2|2|2|2
30|40|50|75|75|75|75|75|30|40|50|75|75|75|75|75
10|10|10|10|10|10|10|20|10|10|10|10|10|10|10|20
5|6|8|10|10|10|10|10|5|6|7|8|8|8|8|8
600|700|900|900|800|800|800|800|600|700|900|900|800|800|800|800
470|540|700|700|600|600|600|600|470|540|700|700|600|600|600|600
1800|2000|3300|3500|3500|3500|3500|3500|1800|2000|2900|3100|3100|3100|3100|3100
120|200|280|350|350|350|350|350|120|200|280|280|280|280|280|280
8|9|11|11|9|9|9|9|8|9|11|15|15|15|9|9
6|7|11|12|9|9|9|9|6|7|8|9|7|7|7|7
90|120|150|150|150|150|150|150|90|120|150|150|150|150|150|150
25|30|40|60|60|60|60|60|25|30|40|50|50|50|50|50
